code,page Url,audio Url
CR,https://macaulaylibrary.org/asset/90528021,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/90528021/audio
CR,https://macaulaylibrary.org/asset/90520541,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/90520541/audio
CR,https://macaulaylibrary.org/asset/90416711,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/90416711/audio
CR,https://macaulaylibrary.org/asset/90220171,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/90220171/audio
CR,https://macaulaylibrary.org/asset/88153,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/88153/audio
CR,https://macaulaylibrary.org/asset/14207,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/14207/audio
CR,https://macaulaylibrary.org/asset/14205,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/14205/audio
ML,https://macaulaylibrary.org/asset/441537541,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/441537541/audio
ML,https://macaulaylibrary.org/asset/441537521,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/441537521/audio
ML,https://macaulaylibrary.org/asset/441496751,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/441496751/audio
ML,https://macaulaylibrary.org/asset/335845881,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/335845881/audio
ML,https://macaulaylibrary.org/asset/159258371,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/159258371/audio
ML,https://macaulaylibrary.org/asset/156103371,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/156103371/audio
ML,https://macaulaylibrary.org/asset/147547261,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/147547261/audio
ML,https://macaulaylibrary.org/asset/146760981,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/146760981/audio
ML,https://macaulaylibrary.org/asset/236449,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/236449/audio
ML,https://macaulaylibrary.org/asset/109243691,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/109243691/audio
ML,https://macaulaylibrary.org/asset/109243681,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/109243681/audio
ML,https://macaulaylibrary.org/asset/91424801,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/91424801/audio
ML,https://macaulaylibrary.org/asset/60300721,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/60300721/audio
ML,https://macaulaylibrary.org/asset/38235081,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/38235081/audio
ML,https://macaulaylibrary.org/asset/38234761,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/38234761/audio
ML,https://macaulaylibrary.org/asset/27767841,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/27767841/audio
